bait,prey,adj.P.Val,logFC
Cuf1,Ura1,0.00980202582875079,1.59750953238855
Cuf1,Bbc1,0.0306354435683161,1.06694120523885
Cuf1,Ssr3,0.018300757008552,1.2112095232822
Cuf1,Ssr2,0.0105974010934721,1.8052844781243
Cuf1,Tpr1,0.00541320387787401,1.24521492938857
Cuf1,Tbp1,0.0311176441182582,1.52510479430882
Cuf1,Cnx1,0.00434752888070318,3.73867758581416
Cuf1,Png1,0.01908665477113,1.14718096951607
Cuf1,Noc1,0.031365940118109,1.03293268225634
Cuf1,Cmb1,0.00106805518307179,1.17355997240482
Cuf1,Nhp6,0.0375480843327921,1.99783150606095
Cuf1,Snu13,0.00637281153215495,2.69433969148794
Cuf1,Rps2502,0.0311176441182582,2.55794501550636
Cuf1,Idp1,0.0033690254557482,2.00943374335514
Cuf1,Rpl3703,0.02451148961338,3.0185385537753
Cuf1,Lsd1,0.0275408926689607,1.10624835861315
Cuf1,Rpb8,0.0377384562747603,2.11974359711012
Cuf1,Ogm4,0.0164495434923583,1.39946010025254
Cuf1,Mot1,0.0311176441182582,1.45318914418543
Cuf1,Smd3,0.0311176441182582,1.41314708187707
Cuf1,Bqt4,0.0408538138382996,1.15703966459962
Cuf1,Lsm5,0.0146693153780454,1.95828052490968
Cuf1,SPBC21C3.15c,0.0130038839391482,1.88720359737332
Cuf1,Sfc6,0.018300757008552,1.60566879139595
Cuf1,Hpz1,0.00446437173330168,1.88288638196554
Cuf1,Gua1,0.0112722810831764,1.22289314281635
Cuf1,Sbh1,0.0289153095398294,2.14327319634553
Cuf1,Sre2,0.0311176441182582,1.67950806971513
Cuf1,Def1,0.00422067266208625,1.17871495906316
Cuf1,Lsm1,0.0496101843154326,1.38143043278407
Cuf1,Rpt2,0.000993901321748142,1.20563272779114
Cuf1,Rsc1,0.00391605349957399,2.20850069339851
Cuf1,Kin1,0.0311176441182582,1.12678512600807
Cuf1,Hip4,0.0496101843154326,1.14570845188757
